,turtle.id,year,field,field.type,mean.duration
86,L190,2019,"Maine, USA",rewarded field,18.49
87,L190,2020_spr,"Virginia, USA",unrewarded field,59.49
88,L190,2020_spr,"Newfoundland, Canada",rewarded field,44.27
89,L191,2019,"Maine, USA",rewarded field,45.33
90,L191,2019,"Florida, USA",unrewarded field,6.12
91,L191,2020_spr,"Newfoundland, Canada",unrewarded field,6
92,L191,2020_spr,"Virginia, USA",rewarded field,35.04
93,L192,2019,"Maine, USA",rewarded field,61.13
94,L192,2019,"Florida, USA",unrewarded field,16.83
95,L192,2020_spr,"Newfoundland, Canada",rewarded field,68.62
96,L192,2020_spr,"Virginia, USA",unrewarded field,51.04
97,L193,2019,"Florida, USA",unrewarded field,31.12
98,L193,2019,"Maine, USA",rewarded field,77.91
99,L193,2020_spr,"Newfoundland, Canada",rewarded field,34.9
100,L193,2020_spr,"Virginia, USA",unrewarded field,19.36
101,L194,2019,"Florida, USA",unrewarded field,11.12
102,L194,2019,"Maine, USA",rewarded field,14.56
103,L194,2020_spr,"Virginia, USA",unrewarded field,63.04
104,L194,2020_spr,"Newfoundland, Canada",rewarded field,77.14
105,L195,2019,"Maine, USA",rewarded field,71.97
106,L195,2019,"Florida, USA",unrewarded field,6.64
107,L195,2020_spr,"Newfoundland, Canada",unrewarded field,17.73
108,L195,2020_spr,"Virginia, USA",rewarded field,39.46
109,L196,2019,"Maine, USA",rewarded field,23.68
110,L196,2019,"Florida, USA",unrewarded field,8.63
111,L196,2020_spr,"Virginia, USA",rewarded field,47.64
112,L196,2020_spr,"Newfoundland, Canada",unrewarded field,8.14
113,L197,2019,"Florida, USA",unrewarded field,11.52
114,L197,2019,"Maine, USA",rewarded field,19.82
115,L197,2020_spr,"Newfoundland, Canada",unrewarded field,31.14
116,L197,2020_spr,"Virginia, USA",rewarded field,25.79
117,L198,2019,"Florida, USA",unrewarded field,50.35
118,L198,2019,"Maine, USA",rewarded field,118.4
119,L198,2020_spr,"Virginia, USA",rewarded field,92.1
120,L198,2020_spr,"Newfoundland, Canada",unrewarded field,33.71
121,L199,2019,"Maine, USA",rewarded field,36.11
122,L199,2019,"Florida, USA",unrewarded field,33.9
123,L199,2020_spr,"Virginia, USA",unrewarded field,31.33
124,L199,2020_spr,"Newfoundland, Canada",rewarded field,46.39
125,L200,2019,"Maine, USA",rewarded field,36.15
126,L200,2019,"Florida, USA",unrewarded field,44.21
127,L200,2020_spr,"Newfoundland, Canada",unrewarded field,8.88
128,L200,2020_spr,"Virginia, USA",rewarded field,29.83
129,L201,2020_fall,Turks & Caicos,rewarded field,137.54
130,L201,2020_fall,Haiti,unrewarded field,102.74
131,L202,2020_fall,Haiti,rewarded field,326.31
132,L202,2020_fall,Turks & Caicos,unrewarded field,181.95
133,L203,2020_fall,Haiti,unrewarded field,164.62
134,L203,2020_fall,Turks & Caicos,rewarded field,266.5
135,L204,2020_fall,Turks & Caicos,unrewarded field,21.47
136,L204,2020_fall,Haiti,rewarded field,93.43
137,L205,2020_fall,Turks & Caicos,rewarded field,29.17
138,L205,2020_fall,Haiti,unrewarded field,19.99
139,L206,2020_fall,Haiti,unrewarded field,38.57
140,L206,2020_fall,Turks & Caicos,rewarded field,168.53
141,L207,2020_fall,Haiti,rewarded field,24.8
142,L207,2020_fall,Turks & Caicos,unrewarded field,92.19
143,L208,2020_fall,Turks & Caicos,rewarded field,338.42
144,L208,2020_fall,Haiti,unrewarded field,104.2
145,L209,2020_fall,Turks & Caicos,unrewarded field,78.25
146,L209,2020_fall,Haiti,rewarded field,98.86
147,L211,2020_fall,Haiti,rewarded field,96.96
148,L211,2020_fall,Turks & Caicos,unrewarded field,42.85
149,L212,2020_fall,Haiti,unrewarded field,38.9
150,L212,2020_fall,Turks & Caicos,rewarded field,55.27
151,L213,2020_fall,Turks & Caicos,unrewarded field,44.75
152,L213,2020_fall,Haiti,rewarded field,116.8
153,L214,2020_fall,Turks & Caicos,rewarded field,28.26
154,L214,2020_fall,Haiti,unrewarded field,17.75
155,L216,2020_fall,Haiti,unrewarded field,24.86
156,L216,2020_fall,Turks & Caicos,rewarded field,49.12
